Time, trainValue,dayCos~DayCosFactorReferenceConfiguration~0~0~1.0~false,daySin~DaySinFactorReferenceConfiguration~0~0~1.0~false,temp_shift_1~ApparentTemReferenceConfiguration~1~0~1.0~false~telaviv,temperature~ApparentTemReferenceConfiguration~0~0~1.0~false~telaviv,weekCos~WeekCosFactorReferenceConfiguration~0~0~1.0~false,weekSin~WeekSinFactorReferenceConfiguration~0~0~1.0~false,yearCos~YearCosFactorReferenceConfiguration~0~0~1.0~false,yearSin~YearSinFactorReferenceConfiguration~0~0~1.0~false
2024-12-28T00:00+02:00[Asia/Jerusalem],4032858.333,0.866025403789534,-0.499999999991174,8.11687812628293,13.21875,-0.149042266175044,0.988830826225299,0.985464815919939,0.169879653236871
2024-12-28T00:30+02:00[Asia/Jerusalem],3869405,0.923879532511392,-0.382683432364835,7.89279031415015,12.9499998092651,-0.167506223304263,0.985871018518316,0.985403828727632,0.170233058860269
2024-12-28T01:00+02:00[Asia/Jerusalem],3730634.167,0.96592582629034,-0.258819045097775,7.57767757900905,12.6500000357628,-0.185911607163094,0.982566473233254,0.985342714797638,0.170586442589147
2024-12-28T01:30+02:00[Asia/Jerusalem],3690400.833,0.991444861373158,-0.130526192225011,7.41853373703511,12.3562499284744,-0.204251981790507,0.978918345897476,0.985281474137828,0.170939804377998
2024-12-28T02:00+02:00[Asia/Jerusalem],3679063.333,1,-0.00000000000036482726,7.35778910949208,12.1562501192093,-0.222520933954237,0.974927912182298,0.985220106756059,0.171293144181487
2024-12-28T02:30+02:00[Asia/Jerusalem],3629626.667,0.991444861375152,0.13052619220986,7.5840231989388,12.0500001907349,-0.240712075407548,0.970596567453744,0.985158612660243,0.171646461954057
2024-12-28T03:00+02:00[Asia/Jerusalem],3580723.333,0.965925826290529,0.25881904509707,7.75416474806761,11.9437498450279,-0.258819045101742,0.965925826289277,0.985096991858269,0.171999757650378
2024-12-28T03:30+02:00[Asia/Jerusalem],3547147.5,0.92387953251724,0.382683432350716,7.79913206219169,11.7000002264977,-0.276835511424711,0.960917321945139,0.985035244358083,0.172353031224899
2024-12-28T04:00+02:00[Asia/Jerusalem],3566817.5,0.866025403789899,0.499999999990543,7.76267898524335,11.456249833107,-0.294755174407924,0.95557280578706,0.984973370167607,0.172706282632296
2024-12-28T04:30+02:00[Asia/Jerusalem],3583515.833,0.793353340303919,0.608761428992191,7.71262630859158,11.3499999046326,-0.312571767943311,0.949894146673614,0.984911369294818,0.173059511827023
2024-12-28T05:00+02:00[Asia/Jerusalem],3658470.833,0.707106781187712,0.707106781185383,7.79335723058665,11.25,-0.330279061956907,0.943883330307759,0.98484924174766,0.173412718763817
2024-12-28T05:30+02:00[Asia/Jerusalem],3717223.333,0.608761429006348,0.793353340293056,7.72942702486678,11.1500000953674,-0.347870864584166,0.937542458544393,0.984786987534165,0.173765903397028
2024-12-28T06:00+02:00[Asia/Jerusalem],3726500,0.499999999993394,0.866025403788252,7.64939499752786,11.1000003814697,-0.365341024365958,0.930873748644376,0.984724606662308,0.174119065681397
2024-12-28T06:30+02:00[Asia/Jerusalem],3674243.333,0.382683432367203,0.923879532510411,7.51474690916528,11.1500000953674,-0.382683432365268,0.923879532511213,0.984662099140123,0.174472205571448
