Time, trainValue,dayCosFactor,daySinFactor,temperature,weekCosFactor,weekSinFactor,yearCosFactor,yearSinFactor
2024-01-01T09:30+02:00[Asia/Jerusalem],4040865.833,-0.382683432362701,0.923879532512276,17.64375,-0.745642164882719,-0.666346577952504,0.973856616312918,0.22716357732602
2024-01-01T10:00+02:00[Asia/Jerusalem],4035833.333,-0.499999999989175,0.866025403790689,18.53125,-0.733051871831394,-0.680172737769229,0.973775086174053,0.227512816225186
2024-01-01T10:30+02:00[Asia/Jerusalem],4023725,-0.608761429002483,0.793353340296022,19.05,-0.720205246537266,-0.693761056027358,0.97369343079312,0.227862025862853
2024-01-01T11:00+02:00[Asia/Jerusalem],4020873.333,-0.707106781173977,0.707106781199118,19.5,-0.707106781187241,-0.707106781185854,0.973611650180646,0.228211206193997
2024-01-01T11:30+02:00[Asia/Jerusalem],4023175.833,-0.793353340283236,0.608761429019146,19.9,-0.693761056028771,-0.720205246535906,0.973529744347124,0.228560357173818
2024-01-01T12:00+02:00[Asia/Jerusalem],4025843.333,-0.866025403787463,0.499999999994762,20.2375,-0.680172737770667,-0.73305187183006,0.973447713303088,0.22890947875741
2024-01-01T12:30+02:00[Asia/Jerusalem],4043749.167,-0.923879532515376,0.382683432355218,20.35,-0.666346577951253,-0.745642164883837,0.973365557059127,0.229258570899705
2024-01-01T13:00+02:00[Asia/Jerusalem],4028108.333,-0.965925826289268,0.258819045101777,20.39375,-0.652287411276856,-0.757971723146542,0.973283275625769,0.229607633555971
2024-01-01T13:30+02:00[Asia/Jerusalem],4010613.333,-0.991444861374516,0.130526192214691,20.24375,-0.638000153934015,-0.770036235238429,0.973200869013623,0.229956666681202
2024-01-01T14:00+02:00[Asia/Jerusalem],4013967.5,-1,4.50756728382572E-12,19.89375,-0.623489801859237,-0.781831482467628,0.97311833723326,0.230305670230618
2024-01-01T14:30+02:00[Asia/Jerusalem],4032505.833,-0.991444861373794,-0.13052619222018,19.35625,-0.608761429008706,-0.793353340291246,0.973035680295323,0.230654644159222
2024-01-01T15:00+02:00[Asia/Jerusalem],4048091.667,-0.965925826291601,-0.258819045093069,18.89375,-0.593820185572954,-0.804597779767073,0.972952898210416,0.23100358842224
2024-01-01T15:30+02:00[Asia/Jerusalem],4088956.667,-0.923879532513257,-0.382683432360333,18.39375,-0.578671296181677,-0.815560868957932,0.972869990989212,0.231352502974682
2024-01-01T16:00+02:00[Asia/Jerusalem],4150828.333,-0.86602540379197,-0.499999999986955,17.6375,-0.563320058064971,-0.826238774315075,0.972786958642348,0.231701387771785
2024-01-01T16:30+02:00[Asia/Jerusalem],4338736.667,-0.793353340297582,-0.608761429000449,16.50625,-0.547771839218683,-0.836627762005888,0.972703801180529,0.232050242768564
2024-01-01T17:00+02:00[Asia/Jerusalem],4561563.333,-0.707106781200931,-0.707106781172164,15.63125,-0.532032076518677,-0.846724199226185,0.972620518614425,0.232399067920263
2024-01-01T17:30+02:00[Asia/Jerusalem],4714935,-0.608761429009635,-0.793353340290534,15.44375,-0.516106273807202,-0.856524555478035,0.972537110954746,0.232747863182018
2024-01-01T18:00+02:00[Asia/Jerusalem],4796371.667,-0.499999999996982,-0.866025403786181,15.1375,-0.499999999999119,-0.866025403784947,0.972453578212261,0.233096628508802
2024-01-01T18:30+02:00[Asia/Jerusalem],4819809,-0.38268343237103,-0.923879532508826,14.5,-0.483718887103769,-0.875223421909566,0.972369920397672,0.233445363855925
2024-01-01T19:00+02:00[Asia/Jerusalem],0,-0.258819045104253,-0.965925826288604,13.8625,-0.467268628274207,-0.884115393504004,0.972286137521766,0.233794069178424
2024-01-01T19:30+02:00[Asia/Jerusalem],0,-0.130526192217232,-0.991444861374182,13.5,-0.45065497580051,-0.892698209243326,0.972202229595292,0.23414274443156
2024-01-01T20:00+02:00[Asia/Jerusalem],0,-7.07091143542024E-12,-1,13.19375,-0.433883739117532,-0.900968867902432,0.972118196629069,0.234491389570378
2024-01-01T20:30+02:00[Asia/Jerusalem],4684739.167,0.130526192217639,-0.991444861374128,12.85,-0.416960782764006,-0.908924477410982,0.972034038633877,0.234840004550149
2024-01-01T21:00+02:00[Asia/Jerusalem],4553545,0.258819045090593,-0.965925826292264,12.49375,-0.399892024321834,-0.916562255869063,0.971949755620568,0.235188589325923
2024-01-01T21:30+02:00[Asia/Jerusalem],4418994.167,0.382683432357965,-0.923879532514238,12.00625,-0.382683432366588,-0.923879532510666,0.971865347599955,0.235537143852979
2024-01-01T22:00+02:00[Asia/Jerusalem],4278102.5,0.499999999984735,-0.866025403793252,11.65625,-0.365341024367288,-0.930873748643854,0.97178081458292,0.235885668086376
2024-01-01T22:30+02:00[Asia/Jerusalem],4125569.167,0.60876142900996,-0.793353340290284,11.45,-0.347870864585505,-0.937542458543896,0.971696156580296,0.236234161981455
2024-01-01T23:00+02:00[Asia/Jerusalem],3926584.167,0.707106781190931,-0.707106781182164,11.25,-0.330279061954822,-0.943883330308488,0.971611373603012,0.236582625493228
2024-01-01T23:30+02:00[Asia/Jerusalem],3711310,0.793353340288973,-0.608761429011668,11.06875,-0.312571767944668,-0.949894146673167,0.97152646566197,0.236931058576879
2024-01-02T00:00+02:00[Asia/Jerusalem],3489713.333,0.866025403784899,-0.499999999999202,11.1875,-0.294755174412765,-0.955572805785567,0.971441432768066,0.237279461187703
2024-01-02T00:30+02:00[Asia/Jerusalem],3398884.167,0.923879532507845,-0.382683432373399,11.2,-0.276835511426084,-0.960917321944744,0.971356274932263,0.23762783328078
2024-01-02T01:00+02:00[Asia/Jerusalem],3306413.333,0.965925826287941,-0.258819045106729,11.2,-0.258819045103122,-0.965925826288907,0.971270992165485,0.237976174811416
2024-01-02T01:30+02:00[Asia/Jerusalem],3196666.667,0.991444861371948,-0.130526192234201,11.15,-0.240712075408934,-0.970596567453401,0.97118558447873,0.238324485734697
2024-01-02T02:00+02:00[Asia/Jerusalem],3117810.833,1,-9.63425558701476E-12,11.15625,-0.222520933959176,-0.97492791218117,0.971100051882954,0.238672766005937
2024-01-02T02:30+02:00[Asia/Jerusalem],3064118.333,0.991444861376362,0.13052619220067,11.34375,-0.204251981791905,-0.978918345897184,0.971014394389185,0.23902101558023
2024-01-02T03:00+02:00[Asia/Jerusalem],3036893.333,0.965925826292928,0.258819045088117,11.45625,-0.185911607164497,-0.982566473232989,0.970928612008413,0.239369234412897
2024-01-02T03:30+02:00[Asia/Jerusalem],3030690,0.92387953250965,0.382683432369041,11.65625,-0.167506223305671,-0.985871018518077,0.970842704751685,0.239717422459096
2024-01-02T04:00+02:00[Asia/Jerusalem],3062415.833,0.866025403779982,0.50000000000772,11.95,-0.149042266176457,-0.988830826225086,0.970756672630049,0.240065579674046
