Time, trainValue,c_shift7~ConsumptionReferenceConfiguration~7~0~1.0~false,dayCos~DayCosFactorReferenceConfiguration~0~0~1.0~false,daySin~DaySinFactorReferenceConfiguration~0~0~1.0~false,temp_shift_7~ApparentTemReferenceConfiguration~7~0~1.0~false~telaviv,temperature~ApparentTemReferenceConfiguration~0~0~1.0~false~telaviv,weekCos~WeekCosFactorReferenceConfiguration~0~0~1.0~false,weekSin~WeekSinFactorReferenceConfiguration~0~0~1.0~false,yearCos~YearCosFactorReferenceConfiguration~0~0~1.0~false,yearSin~YearSinFactorReferenceConfiguration~0~0~1.0~false
2024-12-28T00:00+02:00[Asia/Jerusalem],4032858.333,3797590.833,0.866025403789534,-0.499999999991174,11.6625000834465,13.21875,-0.149042266175044,0.988830826225299,0.985464815919939,0.169879653236871
2024-12-28T00:30+02:00[Asia/Jerusalem],3869405,3665430,0.923879532511392,-0.382683432364835,11.5,12.9499998092651,-0.167506223304263,0.985871018518316,0.985403828727632,0.170233058860269
2024-12-28T01:00+02:00[Asia/Jerusalem],3730634.167,3549043.333,0.96592582629034,-0.258819045097775,11.3562499284744,12.6500000357628,-0.185911607163094,0.982566473233254,0.985342714797638,0.170586442589147
2024-12-28T01:30+02:00[Asia/Jerusalem],3690400.833,3445647.5,0.991444861373158,-0.130526192225011,11.3000001907349,12.3562499284744,-0.204251981790507,0.978918345897476,0.985281474137828,0.170939804377998
2024-12-28T02:00+02:00[Asia/Jerusalem],3679063.333,3366659.167,1,-3.6482726E-13,11.3062501549721,12.1562501192093,-0.222520933954237,0.974927912182298,0.985220106756059,0.171293144181487
2024-12-28T02:30+02:00[Asia/Jerusalem],3629626.667,3313084.167,0.991444861375152,0.13052619220986,11.4437498450279,12.0500001907349,-0.240712075407548,0.970596567453744,0.985158612660243,0.171646461954057
2024-12-28T03:00+02:00[Asia/Jerusalem],3580723.333,3263271.667,0.965925826290529,0.25881904509707,11.5500001907349,11.9437498450279,-0.258819045101742,0.965925826289277,0.985096991858269,0.171999757650378
2024-12-28T03:30+02:00[Asia/Jerusalem],3547147.5,3255748.333,0.92387953251724,0.382683432350716,11.6000003814697,11.7000002264977,-0.276835511424711,0.960917321945139,0.985035244358083,0.172353031224899
2024-12-28T04:00+02:00[Asia/Jerusalem],3566817.5,3290264.167,0.866025403789899,0.499999999990543,11.5500001907349,11.456249833107,-0.294755174407924,0.95557280578706,0.984973370167607,0.172706282632296
2024-12-28T04:30+02:00[Asia/Jerusalem],3583515.833,3302005.833,0.793353340303919,0.608761428992191,11.4499998092651,11.3499999046326,-0.312571767943311,0.949894146673614,0.984911369294818,0.173059511827023
2024-12-28T05:00+02:00[Asia/Jerusalem],3658470.833,3373539.167,0.707106781187712,0.707106781185383,11.3999996185303,11.25,-0.330279061956907,0.943883330307759,0.98484924174766,0.173412718763817
2024-12-28T05:30+02:00[Asia/Jerusalem],3717223.333,3409795.833,0.608761429006348,0.793353340293056,11.3499999046326,11.1500000953674,-0.347870864584166,0.937542458544393,0.984786987534165,0.173765903397028
2024-12-28T06:00+02:00[Asia/Jerusalem],3726500,3452045.833,0.499999999993394,0.866025403788252,11.3000001907349,11.1000003814697,-0.365341024365958,0.930873748644376,0.984724606662308,0.174119065681397
2024-12-28T06:30+02:00[Asia/Jerusalem],3674243.333,3354968.333,0.382683432367203,0.923879532510411,11.3562499284744,11.1500000953674,-0.382683432365268,0.923879532511213,0.984662099140123,0.174472205571448
2024-12-28T07:00+02:00[Asia/Jerusalem],3809270.833,3414168.333,0.258819045100251,0.965925826289676,11.7749999761581,11.3062497377396,-0.399892024320525,0.916562255869634,0.98459946497566,0.174825323021705
2024-12-28T07:30+02:00[Asia/Jerusalem],4045625,3597329.167,0.130526192227552,0.991444861372823,12.7562500238419,11.6062498688698,-0.416960782759401,0.908924477413095,0.984536704176954,0.175178417986864
2024-12-28T08:00+02:00[Asia/Jerusalem],4316665,3763850,2.92817141E-12,1,13.9500002264977,12.1124998927116,-0.433883739116245,0.900968867903052,0.984473816752097,0.1755314904214
2024-12-28T08:30+02:00[Asia/Jerusalem],4676665,3895165,-0.130526192207318,0.991444861375487,15.2062498927116,12.9000000953674,-0.450654975799235,0.89269820924397,0.984410802709158,0.175884540280014
2024-12-28T09:00+02:00[Asia/Jerusalem],4957619.167,3983401.667,-0.258819045094594,0.965925826291192,16.4312506914139,13.6937498450279,-0.467268628272945,0.884115393504672,0.98434766205626,0.176237567517186
2024-12-28T09:30+02:00[Asia/Jerusalem],5122531.667,4035319.167,-0.382683432348348,0.923879532518221,17.3500003814697,14.4000000357628,-0.483718887102519,0.875223421910257,0.984284394801505,0.176590572087625
2024-12-28T10:00+02:00[Asia/Jerusalem],5283041.667,4095258.333,-0.500000000000925,0.866025403783905,18.1437497138977,15.0499997735024,-0.500000000001032,0.866025403783843,0.98422100095304,0.176943553945872
2024-12-28T10:30+02:00[Asia/Jerusalem],5410585.833,4112202.5,-0.608761429013247,0.793353340287762,18.6937497854233,15.5999999046326,-0.516106273809095,0.856524555476894,0.984157480519018,0.177296513046529
2024-12-28T11:00+02:00[Asia/Jerusalem],5455110.833,4168232.5,-0.707106781183571,0.707106781189524,18.9874999523163,16.0937502980232,-0.532032076514387,0.846724199228881,0.98409383350762,0.177649449344144
2024-12-28T11:30+02:00[Asia/Jerusalem],5461664.167,4244416.667,-0.793353340291495,0.608761429008382,18.9499998092651,16.5,-0.547771839217488,0.836627762006671,0.98403005992701,0.178002362793435
2024-12-28T12:00+02:00[Asia/Jerusalem],5456919.167,4440513.333,-0.866025403779695,0.500000000008217,18.8937495946884,16.793749332428,-0.56332005806379,0.82623877431588,0.983966159785411,0.178355253348902
2024-12-28T12:30+02:00[Asia/Jerusalem],5375566.667,4599766.667,-0.92387953250943,0.382683432369571,18.8062492609024,16.8999996185303,-0.578671296180512,0.815560868958759,0.983902133091022,0.178708120965269
2024-12-28T13:00+02:00[Asia/Jerusalem],5339172.5,4637938.333,-0.965925826289013,0.258819045102727,18.7437499761581,16.9437497854233,-0.593820185571804,0.804597779767921,0.983837979852087,0.179060965597096
2024-12-28T13:30+02:00[Asia/Jerusalem],5247666.667,4817410,-0.991444861372488,0.130526192230093,18.5500001907349,16.8499994277954,-0.608761429007573,0.793353340292116,0.983773700076868,0.179413787198946
2024-12-28T14:00+02:00[Asia/Jerusalem],5233810.833,4837085.833,-1,5.49151556E-12,18.3499995470047,16.7999992370605,-0.62348980185812,0.781831482468519,0.983709293773612,0.179766585725552
2024-12-28T14:30+02:00[Asia/Jerusalem],5151433.333,4781168.333,-0.991444861375821,-0.130526192204777,18.1500004529953,16.75,-0.638000153930113,0.770036235241662,0.983644760950622,0.180119361131428
2024-12-28T15:00+02:00[Asia/Jerusalem],5019270.833,4758509.167,-0.965925826291856,-0.258819045092118,17.9499998092651,16.6437505483627,-0.652287411275773,0.757971723147474,0.983580101616178,0.180472113371313
